4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
LINALOOL_BIOSYNTHESIS	linalool biosynthesis	AT1G61680,AT5G47770,AT4G17190,AT2G18620
(3E)-4,8-DIMETHYLNONA-1,3,7-TRIENE_BIOSYNTHESIS	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis	AT3G25180
FARNESENE_BIOSYNTHESIS	farnesene biosynthesis	AT4G16740,AT5G44630,AT3G31415
BETA-CARYOPHYLLENE_BIOSYNTHESIS	beta-caryophyllene biosynthesis	AT5G23960
BETA;-CAROTENE_BIOSYNTHESIS	beta;-carotene biosynthesis	AT3G10230
ZEAXANTHIN_BIOSYNTHESIS	zeaxanthin biosynthesis	AT4G25700,AT5G52570
ANTHERAXANTHIN_AND_VIOLAXANTHIN_BIOSYNTHESIS	antheraxanthin and violaxanthin biosynthesis	AT1G08550,AT5G67030
DELTA;-CAROTENE_BIOSYNTHESIS	delta;-carotene biosynthesis	AT5G57030
LUTEIN_BIOSYNTHESIS	lutein biosynthesis	AT1G31800,AT4G25700,AT3G53130,AT5G52570
TRANS-LYCOPENE_BIOSYNTHESIS_II_	trans-lycopene biosynthesis II (plants)	AT4G14210,AT1G06820,AT3G04870,AT5G17230,AT1G10830
LUPEOL_BIOSYNTHESIS	lupeol biosynthesis	AT5G36150,AT2G07050,AT1G78500,AT1G66960,AT1G78970
ALPHA;-AMYRIN_BIOSYNTHESIS	alpha;-amyrin biosynthesis	AT1G78960,AT5G36150,AT2G07050,AT1G78955,AT1G66960
THALIANOL_AND_DERIVATIVES_BIOSYNTHESIS	thalianol and derivatives biosynthesis	AT5G48010,AT5G48000,AT3G32047,AT5G47990
MARNERAL_BIOSYNTHESIS	marneral biosynthesis	AT5G42600
ARABIDIOL_BIOSYNTHESIS	arabidiol biosynthesis	AT4G15340
BARUOL_BIOSYNTHESIS	baruol biosynthesis	AT4G15370
4-AMINOBUTYRATE_DEGRADATION_IV	4-aminobutyrate degradation IV	AT1G79440,AT3G22200
ALLANTOIN_DEGRADATION_TO_UREIDOGLYCOLATE_II_	allantoin degradation to ureidoglycolate II (ammonia producing)	AT4G20070,AT4G04955
PUTRESCINE_DEGRADATION_IV	putrescine degradation IV	AT4G14940
SPERMINE_AND_SPERMIDINE_DEGRADATION_III	spermine and spermidine degradation III	AT4G16310,AT1G62830,AT4G29720,AT3G13682,AT3G59050,AT3G10390,AT2G43020,AT1G65840,AT5G13700
UREA_DEGRADATION_II	urea degradation II	AT1G67550
ALDOXIME_DEGRADATION	aldoxime degradation	AT1G08980,AT5G09420
246-TRINITROTOLUENE_DEGRADATION	2,4,6-trinitrotoluene degradation	AT2G15490,AT2G36790,AT2G36750,AT4G34135,AT2G15480,AT1G05680
URATE_DEGRADATION_TO_ALLANTOIN	urate degradation to allantoin	AT4G27830,AT5G16580,AT2G26230,AT5G58220,AT4G22100,AT3G62740,AT1G45191,AT1G60090,AT4G27820,AT1G02850,AT3G62750
ETHANOL_DEGRADATION	ethanol degradation	AT1G32780,AT4G22110,AT1G64710,AT1G22440,AT1G77120,AT1G22430,AT5G24760,AT5G42250
OXIDATIVE_ETHANOL_DEGRADATION_III	oxidative ethanol degradation III	AT5G36880,AT5G23050,AT4G35090,AT1G20630,AT1G55320,AT3G16910,AT3G48000,AT1G20620
OXIDATIVE_ETHANOL_DEGRADATION_I	oxidative ethanol degradation I	AT1G32780,AT4G22110,AT1G64710,AT5G36880,AT1G22440,AT5G23050,AT1G77120,AT1G55320,AT1G22430,AT5G24760,AT3G16910,AT3G48000,AT5G42250
GLYCEROL_DEGRADATION_IV	glycerol degradation IV	AT1G80460,AT3G10370
METHYLGLYOXAL_DEGRADATION_I	methylglyoxal degradation I	AT2G43430,AT1G11840,AT1G08110,AT1G06130,AT1G67280,AT3G60880,AT3G10850,AT5G06580,AT2G45440,AT1G53580,AT2G31350
BRANCHED-CHAIN_ALPHA;-KETO_ACID_DEHYDROGENASE_COMPLEX	branched-chain alpha;-keto acid dehydrogenase complex	AT3G06850
2-KETOGLUTARATE_DEHYDROGENASE_COMPLEX	2-ketoglutarate dehydrogenase complex	AT4G26910,AT5G55070
ALANINE_DEGRADATION_III	alanine degradation III	AT1G70560,AT1G70580,AT1G23310,AT1G17290,AT1G23320,AT1G72330
ASPARAGINE_DEGRADATION_I	asparagine degradation I	AT4G00590,AT3G16150,AT5G08100
GLUTAMATE_DEGRADATION_I	glutamate degradation I	AT5G18170,AT5G07440
GLUTAMATE_DEGRADATION_IV	glutamate degradation IV	AT1G79440,AT5G17330,AT3G17720,AT1G65960,AT3G22200
GLYCINE_CLEAVAGE_COMPLEX_PLANTCYC	glycine cleavage complex	AT2G26080,AT2G35370,AT4G33010,AT1G11860,AT2G35120
ISOLEUCINE_DEGRADATION_I	isoleucine degradation I	AT3G17240,AT1G10070,AT3G06850,AT4G16210,AT4G16800,AT5G10480,AT5G47720,AT5G09300,AT3G06860,AT5G48230,AT3G49680,AT4G29010,AT3G13450,AT1G10060,AT1G50090,AT5G65780
LEUCINE_DEGRADATION_I	leucine degradation I	AT3G17240,AT2G26800,AT1G03090,AT1G70560,AT1G10070,AT3G06850,AT5G09300,AT1G23320,AT3G49680,AT3G13450,AT3G45300,AT1G10060,AT4G34030,AT1G50090,AT5G65780
LYSINE_DEGRADATION_II	lysine degradation II	AT1G54100,AT4G16210,AT5G10480,AT4G16800,AT4G33150,AT5G47720,AT3G06860,AT5G48230,AT1G76150,AT4G29010,AT3G15290
LYSINE_DEGRADATION_I	lysine degradation I	AT3G02470
METHIONINE_DEGRADATION_II	methionine degradation II	AT1G64660
CITRULLINE_DEGRADATION	citrulline degradation	AT1G75330
PHENYLALANINE_DEGRADATION_III	phenylalanine degradation III	AT1G62960,AT5G19440,AT1G70560,AT1G23320,AT1G51410,AT5G53970,AT5G51690
PROLINE_DEGRADATION_II	proline degradation II	AT3G30775,AT5G62530,AT5G38710
TYROSINE_DEGRADATION_I	tyrosine degradation I	AT1G62960,AT1G06570,AT1G12050,AT5G53970,AT5G51690,AT5G54080
VALINE_DEGRADATION_I	valine degradation I	AT1G06550,AT5G65940,AT1G44170,AT4G36250,AT3G17240,AT1G23800,AT1G10070,AT3G06850,AT4G16210,AT4G16800,AT5G10480,AT5G09300,AT3G06860,AT2G14170,AT3G60510,AT4G31810,AT3G49680,AT4G29010,AT3G13450,AT4G13360,AT3G45300,AT1G10060,AT3G48000,AT1G50090,AT3G24360,AT5G65780
CO2_FIXATION_INTO_OXALOACETATE	CO2 fixation into oxaloacetate	AT3G14940,AT1G53310,AT2G42600
FORMALDEHYDE_OXIDATION_II_	formaldehyde oxidation II (glutathione-dependent)	AT2G41530,AT5G43940
ACETYL-COA_BIOSYNTHESIS_FROM_PYRUVATE	acetyl-CoA biosynthesis (from pyruvate)	AT1G34430,AT5G50850,AT1G01090,AT1G30120,AT1G59900,AT3G25860,AT1G24180,AT3G13930,AT1G54220
GLYCOLATE_AND_GLYOXYLATE_DEGRADATION_II	glycolate and glyoxylate degradation II	AT5G03860,AT5G06580
CHLOROPHYLL_A_DEGRADATION	chlorophyll a degradation	AT3G44880,AT1G19670,AT4G37000,AT5G43860
GLUTATHIONE_DEGRADATION	glutathione degradation	AT4G39650,AT4G29210,AT4G39640
MANNOSE_DEGRADATION	mannose degradation	AT1G67070,AT3G02570
HOMOGALACTURONAN_DEGRADATION	homogalacturonan degradation	AT3G05610,AT3G43270,AT4G02330,AT5G19730,AT1G05310,AT2G47040,AT4G33230,AT3G24130,AT2G43860,AT3G60730,AT5G27870,AT2G26440,AT1G02790,AT5G18990,AT4G02320,AT5G61680,AT5G27530,AT3G29090,AT5G09760,AT5G51500,AT2G45220,AT4G03930,AT3G49220,AT5G07420,AT3G17060,AT1G11580,AT5G55590,AT5G04960,AT1G23200,AT2G47280,AT2G47030,AT2G21610,AT1G05660,AT5G53370,AT3G27980,AT5G51490,AT5G64640,AT5G07430,AT3G05620,AT1G80170,AT3G06830,AT1G05650,AT2G19150,AT1G11370,AT3G57510,AT2G47550,AT1G56710,AT4G20050,AT5G49180,AT5G17200,AT1G02810,AT2G41850,AT2G36710,AT1G11590,AT3G10710,AT1G44980,AT5G26810,AT4G00190,AT3G59010,AT4G15980,AT1G53830,AT1G53840,AT1G69940,AT5G47500,AT1G65570,AT5G07410,AT5G20860,AT2G36700,AT3G10720,AT3G14310,AT2G26450,AT4G35670,AT2G43050,AT5G04970,AT4G18180,AT3G14300,AT1G70500,AT2G43880,AT3G15720,AT3G47400,AT3G62170,AT4G33220,AT4G02300
MANNITOL_DEGRADATION_II	mannitol degradation II	AT1G67070,AT3G02570,AT4G37980
MELIBIOSE_DEGRADATION	melibiose degradation	AT5G08370,AT3G56310,AT3G26380
RIBOSE_DEGRADATION	ribose degradation	AT2G45290,AT1G71100,AT3G04790,AT3G60750,AT2G01290
GALACTOSE_DEGRADATION_I_	galactose degradation I (Leloir pathway)	AT4G23920,AT1G64440,AT3G17940,AT4G10960,AT3G47800,AT5G15140,AT3G06580,AT3G01260,AT1G12780,AT1G63180
SUCROSE_DEGRADATION_III	sucrose degradation III	AT1G56560,AT3G59480,AT4G02280,AT3G06500,AT1G73370,AT1G69200,AT1G50460,AT5G51820,AT4G09510,AT4G29130,AT5G52560,AT2G19860,AT3G05820,AT4G37840,AT1G66430,AT5G37180,AT1G12240,AT3G03250,AT5G20830,AT3G13790,AT3G43190,AT5G18070,AT5G22510,AT1G23190,AT2G31390,AT1G06030,AT3G20040,AT3G54090,AT1G35580,AT2G35020,AT1G47840,AT4G10260,AT1G06020,AT5G51830,AT2G36190,AT1G70730,AT1G06730,AT4G34860,AT5G49190,AT1G22650,AT5G42740,AT5G17310,AT1G72000,AT4G24620
TREHALOSE_DEGRADATION_II_	trehalose degradation II (trehalase)	AT1G50460,AT4G29130,AT2G19860,AT4G37840,AT3G20040,AT1G47840,AT4G24040
XYLOSE_DEGRADATION_I	xylose degradation I	AT5G49650,AT5G57655
TRIACYLGLYCEROL_DEGRADATION	triacylglycerol degradation	AT5G67050,AT2G15230,AT1G51440,AT3G14360,AT5G09430,AT1G30370,AT4G18550,AT1G06250,AT4G36530,AT5G42930,AT2G42690,AT5G18640,AT1G56630,AT2G30550,AT5G04040,AT1G05800,AT4G16070,AT1G06800,AT4G16820,AT1G45201,AT5G18630,AT5G38520,AT2G31100,AT5G19850,AT2G31690,AT4G39955
PHOSPHOLIPASES	phospholipases	AT3G55940,AT5G58690,AT2G40116,AT2G44810,AT1G51440,AT3G16785,AT4G11850,AT3G48610,AT3G47290,AT4G11830,AT4G00240,AT1G61850,AT4G11840,AT2G42010,AT5G25370,AT5G58700,AT2G30550,AT4G37070,AT3G03310,AT1G52570,AT3G05630,AT4G38530,AT1G07230,AT4G29460,AT2G26870,AT3G08510,AT1G05800,AT1G06800,AT4G16820,AT3G47220,AT4G35790,AT2G19690,AT3G03540,AT2G06925,AT3G03530,AT1G55180,AT4G19860,AT5G58670,AT3G15730,AT4G29470,AT2G31690
CERAMIDE_DEGRADATION	ceramide degradation	AT4G21540,AT1G27980
FATTY_ACID_ALPHA;-OXIDATION	fatty acid alpha;-oxidation	AT3G01420,AT1G73680
FATTY_ACID_OMEGA;-OXIDATION	fatty acid omega;-oxidation	AT1G69500
FATTY_ACID_BETA;-OXIDATION_II_	fatty acid beta;-oxidation II (core pathway)	AT5G65110,AT1G06310,AT5G27600,AT4G16210,AT4G16800,AT5G10480,AT3G05970,AT3G06860,AT2G33150,AT3G51840,AT1G04710,AT3G15290,AT4G16760,AT5G48880,AT2G35690,AT4G29010,AT1G06290
FATTY_ACID_BETA;-OXIDATION_III_	fatty acid beta;-oxidation III (unsaturated, odd number)	AT1G65520,AT4G14430,AT4G14440
FATTY_ACID_BETA;-OXIDATION_IV_	fatty acid beta;-oxidation IV (unsaturated, even number)	AT4G16210,AT4G16800,AT5G10480,AT1G65520,AT3G06860,AT5G43280,AT4G14430,AT4G14440,AT4G29010
BRASSINOSTEROIDS_INACTIVATION	brassinosteroids inactivation	AT2G26710
IAA_DEGRADATION_IV	IAA degradation IV	AT1G59500,AT4G37390,AT1G28130,AT5G54510,AT4G27260,AT2G23170
CYTOKININS_DEGRADATION	cytokinins degradation	AT2G41510,AT5G21482,AT3G63440,AT4G29740,AT1G75450,AT2G19500,AT5G56970
GIBBERELLIN_INACTIVATION	gibberellin inactivation	AT1G50960,AT1G30040,AT4G23340,AT4G03070,AT1G47990,AT1G78440,AT3G47190,AT2G34555,AT3G46500,AT1G14130,AT1G02400,AT5G58660,AT1G14120,AT4G21200,AT1G28030
GIBBERELLIN_INACTIVATION_II_	gibberellin inactivation II (methylation)	AT4G26420,AT5G56300
ADENOSINE_NUCLEOTIDES_DEGRADATION_I	adenosine nucleotides degradation I	AT3G04390,AT4G34890,AT4G34900,AT1G05620,AT2G38280,AT1G79470,AT1G16350,AT5G18860,AT1G02590,AT2G36310
PGUANOSINE_NUCLEOTIDES_DEGRADATION_II	pguanosine nucleotides degradation II	AT3G04390,AT4G34890,AT4G34900,AT1G02590
GUANOSINE_NUCLEOTIDES_DEGRADATION_I	guanosine nucleotides degradation I	AT3G04390,AT4G34890,AT4G34900,AT1G02590,AT2G36310
PYRIMIDINE_RIBONUCLEOSIDES_DEGRADATION_II	pyrimidine ribonucleosides degradation II	AT4G29580,AT4G29610,AT4G29620,AT4G29600,AT4G29650,AT4G29570,AT4G29640,AT4G29630,AT2G19570,AT2G36310
CYANATE_DEGRADATION	cyanate degradation	AT1G23730,AT5G56330,AT4G33580,AT1G70410,AT1G58180,AT3G01500,AT1G19580,AT1G47260,AT5G66510,AT3G52720,AT5G14740
AMMONIA_ASSIMILATION_CYCLE_II	ammonia assimilation cycle II	AT5G37600,AT1G48470,AT1G66200,AT5G35630,AT3G17820,AT5G16570,AT2G41220,AT5G04140,AT5G53460
UREA_CYCLE	urea cycle	AT1G75330,AT5G10920,AT4G08900,AT4G08870,AT3G27740,AT1G29900
AMMONIUM_TRANSPORT_PLANTCYC	ammonium transport	AT4G13510,AT3G24300
NITRATE_REDUCTION_II_	nitrate reduction II (assimilatory)	AT5G37600,AT1G48470,AT1G77760,AT2G15620,AT1G66200,AT5G35630,AT3G17820,AT5G16570,AT1G37130
PHOSPHATE_ACQUISITION	phosphate acquisition	AT4G13700,AT2G18130,AT5G24780,AT1G52940,AT5G24770,AT3G20500,AT3G52810,AT1G56360,AT5G34850,AT4G36350,AT2G16430,AT2G27190,AT3G46120
SULFATE_ACTIVATION_FOR_SULFONATION	sulfate activation for sulfonation	AT5G67520,AT4G14680,AT2G14750,AT4G39940,AT1G19920,AT5G43780,AT3G22890,AT3G03900
SULFATE_REDUCTION_II_	sulfate reduction II (assimilatory)	AT5G04590,AT4G14680,AT1G19920,AT4G21990,AT5G43780,AT3G22890,AT4G04610,AT1G62180
SULFITE_OXIDATION_IV	sulfite oxidation IV	AT3G01910
THIOSULFATE_DISPROPORTIONATION_III_	thiosulfate disproportionation III (rhodanese)	AT5G66170,AT1G79230,AT5G66040,AT1G16460
ACRYLONITRILE_DEGRADATION	acrylonitrile degradation	AT5G09420
CYANIDE_DEGRADATION	cyanide degradation	AT3G61440
GLUCOSINOLATE_BREAKDOWN	glucosinolate breakdown	AT1G51470,AT5G26000,AT5G25980,AT1G47600,AT3G16410,AT3G16400,AT1G54040,AT2G33070,AT3G16390,AT5G48180
INDOLE_GLUCOSINOLATE_BREAKDOWN_INSECT_CHEWING_INDUCED	indole glucosinolate breakdown (insect chewing induced)	AT3G44300,AT3G16410,AT3G16400,AT2G33070,AT3G16390,AT5G48180,AT5G22300,AT2G44490,AT3G44320,AT3G44310
INDOLE_GLUCOSINOLATE_BREAKDOWN_ACTIVE_IN_INTACT_CELL	indole glucosinolate breakdown (active in intact plant cell)	AT1G21120,AT5G57220,AT4G37430,AT4G37400,AT1G21100,AT2G44490
PHYTATE_DEGRADATION_I	phytate degradation I	AT3G52820,AT3G07130,AT2G32770,AT1G31190,AT4G39120,AT3G02870,AT3G52780
PHYTATE_DEGRADATION_II	phytate degradation II	AT3G52820,AT3G07130,AT2G32770,AT3G52780
SORBITOL_DEGRADATION_I	sorbitol degradation I	AT5G51970
SUPEROXIDE_RADICALS_DEGRADATION	superoxide radicals degradation	AT2G28190,AT3G56350,AT5G51100,AT4G35090,AT5G23310,AT1G12520,AT3G10920,AT1G08830,AT4G25100,AT1G20630,AT5G18100,AT1G20620
ASCORBATE_GLUTATHIONE_CYCLE	ascorbate glutathione cycle	AT3G13400,AT1G08065,AT3G09640,AT3G13390,AT1G19550,AT5G21105,AT5G03630,AT4G35000,AT4G28090,AT5G04180,AT1G41830,AT2G23630,AT4G39830,AT1G21860,AT4G22010,AT1G55560,AT5G66920,AT2G28210,AT4G20990,AT1G75790,AT1G19570,AT4G21000,AT1G55570,AT5G16710,AT3G09940,AT3G24170,AT1G75270,AT3G52880,AT1G76160,AT1G07890,AT1G21850,AT3G54660,AT1G08080,AT3G27820,AT4G38420,AT5G21100
OXIDIZED_GTP_AND_DGTP_DETOXIFICATION	oxidized GTP and dGTP detoxification	AT1G68760
RUBISCO_SHUNT	Rubisco shunt	AT1G32060,AT1G09780,AT3G08590,AT5G56350,AT5G38430,AT5G61410,AT4G26390,AT2G45290,AT5G08570,AT5G63680,AT1G71100,AT3G55650,AT1G74030,AT3G04790,AT5G38420,AT2G36530,AT3G25960,AT1G63290,AT1G32440,AT3G04050,AT2G29560,AT3G55810,ATCG00490,AT3G01850,AT1G22170,AT3G60750,AT3G52990,AT2G01290,AT5G52920,AT5G38410,AT1G67090,AT2G36580,AT3G22960
ACETYL-COA_BIOSYNTHESIS_FROM_CITRATE	acetyl-CoA biosynthesis (from citrate)	AT5G49460,AT1G60810,AT3G06650,AT1G09430,AT1G10670
PYRUVATE_FERMENTATION_TO_LACTATE	pyruvate fermentation to lactate	AT4G17260
PYRUVATE_FERMENTATION_TO_ETHANOL_II	pyruvate fermentation to ethanol II	AT5G01320,AT1G64710,AT1G22440,AT4G33070,AT5G01330,AT1G32780,AT4G22110,AT5G54960,AT1G77120,AT1G22430,AT5G24760,AT5G42250
GLYCOLYSIS_I_	glycolysis I (plastidic)	AT1G32060,AT1G09780,AT3G08590,AT4G26270,AT5G47810,AT5G56350,AT4G26390,AT1G56190,AT3G62410,AT5G08570,AT5G63680,AT1G79550,AT4G32840,AT3G54050,AT3G55650,AT2G36460,AT1G79530,AT1G74030,AT2G21170,AT4G26530,AT4G29220,AT5G56630,AT1G18270,AT2G36530,AT4G26520,AT3G25960,AT5G03690,AT1G32440,AT1G16300,AT3G04050,AT2G29560,AT1G12900,AT3G55810,AT3G04120,AT5G64380,AT3G55440,AT2G01140,AT2G21330,AT1G22170,AT2G22480,AT3G52990,AT1G13440,AT4G38970,AT5G42740,AT1G42970,AT3G12780,AT5G52920,AT1G43670,AT3G52930,AT2G36580,AT4G24620,AT3G22960,AT3G26650,AT5G61580
GLYCOLYSIS_IV_	glycolysis IV (plant cytosol)	AT1G32060,AT4G26270,AT1G09780,AT3G08590,AT5G47810,AT5G56350,AT2G24270,AT1G56190,AT4G26390,AT3G62410,AT5G08570,AT1G79550,AT5G63680,AT4G32840,AT3G55650,AT2G36460,AT1G79530,AT1G12000,AT1G74030,AT4G26530,AT2G21170,AT4G29220,AT5G56630,AT4G04040,AT1G18270,AT4G26520,AT2G36530,AT5G03690,AT3G25960,AT1G32440,AT1G16300,AT3G04050,AT1G12900,AT2G29560,AT3G55810,AT3G04120,AT3G55440,AT2G01140,AT1G76550,AT2G21330,AT1G22170,AT2G22480,AT1G20950,AT3G52990,AT4G38970,AT1G13440,AT1G42970,AT3G12780,AT5G52920,AT3G52930,AT2G36580,AT5G61580,AT3G26650,AT3G22960
GLYCEROL-3-PHOSPHATE_SHUTTLE	glycerol-3-phosphate shuttle	AT3G07690,AT2G40690,AT3G10370,AT2G41540,AT5G40610
PENTOSE_PHOSPHATE_PATHWAY_NON_OXIDATIVE_BRANCH	pentose phosphate pathway (non-oxidative branch)	AT5G61410,AT2G45290,AT1G71100,AT3G04790,AT1G63290,AT3G01850,AT3G60750,AT2G01290
PENTOSE_PHOSPHATE_PATHWAY_OXIDATIVE_BRANCH	pentose phosphate pathway (oxidative branch)	AT5G24410,AT5G24420,AT5G40760,AT5G35790,AT1G64190,AT3G02360,AT1G24280,AT5G41670,AT1G13700,AT3G27300,AT5G13110
PHOTOSYNTHESIS_LIGHT_REACTIONS	photosynthesis light reactions	AT3G16140,AT1G67740,AT4G05180,AT1G14150,AT2G46820,AT4G02770,AT2G06520,PsaA,AT3G01440,PsbE,AT3G21055,AT1G44575,AT4G28750,AT1G79040,AT1G06680,AT1G52230,PsbD,PsbA,PsbI,PsbTc,AT5G66570,PsbC,AT1G31330,PsaB,AT2G30570,PsbB,PsaC,AT1G08380,AT5G64040,AT2G20260,AT4G21280,AT1G30380,AT2G01918,AT4G12800,AT3G50820,PsbH,AT1G03130,AT1G55670
XANTHOPHYLL_CYCLE_PLANTCYC	xanthophyll cycle	AT1G08550,AT5G67030
PHOTORESPIRATION_PLANTCYC	photorespiration	AT5G36700,AT3G14130,AT5G38430,AT1G70580,AT4G13890,AT5G47760,AT3G14415,AT4G32520,AT2G13360,AT5G38420,AT5G26780,AT5G06580,AT1G36370,AT3G14150,AT1G80380,AT1G22020,AT4G37930,AT5G36790,ATCG00490,AT1G23310,AT4G18360,AT3G14420,AT1G68010,AT2G35370,AT4G13930,AT5G38410,AT1G67090,AT2G35120
AEROBIC_RESPIRATION_--_ELECTRON_DONOR_III	aerobic respiration -- electron donor III	AT1G16700,AT5G66760,AT2G31490,NAD5a,AT3G57785,AT5G11770,AT1G32350,ATCG00420,AT5G40650,AT3G12260,AT5G08530,AT3G27620,AT3G48680,AT5G37510,AT2G33220,AT2G18450,AT5G65165,AT2G42310,AT4G16450,AT5G62575,ATMG01320,AT2G46505,AT1G47420,AT5G67590,AT5G52840,AT1G79010,NAD9,NAD1b,AT1G08480,AT2G46390,AT3G03100,AT2G02050,AT3G47833,NAD1a,AT4G02580,AT2G47690,AT3G22370,AT1G47260,NAD5b,AT3G22360,AT1G49140,AT3G27380,AT5G66510,AT4G20150,AT5G63510,AT4G32210,NAD7,AT3G08610,AT2G27730,NAD5c,AT2G20360,AT5G64210,ATCG01090,ATMG00285
AEROBIC_RESPIRATION_--_ELECTRON_DONOR_II	aerobic respiration -- electron donor II	AT1G16700,AT5G66760,AT2G31490,NAD5a,AT3G57785,AT5G11770,ATCG00420,AT4G28060,AT5G40650,AT5G57815,AT3G12260,AT5G08530,ATMG00220,AT3G48680,COX3,AT5G37510,AT2G33220,AT2G18450,ATMG01280,AT5G65165,AT2G42310,AT4G16450,COX1,AT5G62575,ATMG01320,AT2G46505,AT1G47420,AT5G67590,AT5G52840,COX2,AT5G13440,AT1G79010,NAD9,NAD1b,AT1G08480,AT2G46390,AT4G37830,AT2G47380,AT3G03100,AT2G02050,AT3G47833,NAD1a,AT4G02580,AT2G47690,AT2G07687,AT1G22450,AT1G47260,NAD5b,AT1G49140,AT3G27380,AT5G66510,AT4G20150,AT5G63510,AT4G32210,AT2G44520,AT3G15640,NAD7,AT3G08610,AT2G27730,AT2G07727,NAD5c,AT2G20360,AT1G80230,ATCG01090,ATMG00285
GLYOXYLATE_CYCLE_PLANTCYC	glyoxylate cycle	AT3G58750,AT2G44350,AT1G04410,AT5G03860,AT4G35830,AT2G42790,AT2G43180,AT3G60100,AT2G05710,AT5G43330,AT5G56720,AT1G21440,AT3G47520,AT5G09660,AT3G15020,AT4G26970,AT3G21720,AT3G58740,AT1G53240,AT2G22780
TCA_CYCLE_VARIATION_III_	TCA cycle variation III (eukaryotic)	AT5G08300,AT5G66760,AT3G58750,AT2G44350,AT1G04410,AT5G40650,AT2G20420,AT2G17130,AT4G35830,AT2G42790,AT5G03290,AT3G60100,AT2G05710,AT2G18450,AT5G65165,AT5G23250,AT5G43330,AT5G56720,AT5G62575,AT2G46505,AT1G47420,AT1G08480,AT2G46390,AT3G47833,AT3G47520,AT2G47510,AT5G09660,AT4G35260,AT3G15020,AT4G26970,AT3G27380,AT3G58740,AT4G32210,AT4G35650,AT5G50950,AT1G53240,AT3G09810,AT2G22780
TCA_CYCLE_VARIATION_V_	TCA cycle variation V (plant)	AT5G08300,AT5G66760,AT3G58750,AT2G44350,AT1G04410,AT5G40650,AT2G20420,AT2G17130,AT4G35830,AT2G42790,AT5G03290,AT3G60100,AT2G05710,AT2G18450,AT5G65165,AT5G23250,AT5G43330,AT5G56720,AT5G62575,AT2G46505,AT1G47420,AT1G08480,AT2G46390,AT3G47833,AT4G00570,AT3G47520,AT2G47510,AT1G01090,AT5G09660,AT4G35260,AT3G15020,AT2G13560,AT4G26970,AT3G27380,AT3G58740,AT4G32210,AT3G52200,AT4G35650,AT5G50950,AT1G53240,AT3G09810,AT2G22780
FE-REDUCTION_AND_FE_TRANSPORT	Fe(III)-reduction and Fe(II) transport	AT5G38630,AT4G19690,AT1G26100,AT4G25570,AT5G23990,AT5G49740,AT5G50160,AT4G19680,AT1G01590,AT5G23980,AT1G01580,AT1G23020
