4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
CELLULOSE_BIOSYNTHESIS	cellulose biosynthesis	AT4G39350,AT5G44030,AT1G23210,AT4G32410,AT5G09870,AT2G44560,AT5G64740,AT3G57240,AT1G65610,AT1G32180,AT4G38190,AT5G49720,AT1G71380,AT4G23560,AT4G18780,AT5G05170,AT2G32540,AT1G70710,AT1G55850,AT3G03050,AT4G39010,AT2G44540,AT4G24010,AT3G43860,AT1G02730,AT4G09740,AT1G22880,AT1G48930,AT4G39000,AT1G75680,AT2G33100,AT4G23990,AT1G02800,AT2G32610,AT2G25540,AT2G21770,AT2G32990,AT3G57260,AT2G44550,AT4G15290,AT4G02290,AT5G17420,AT4G15320,AT5G16910,AT1G19940,AT2G32530,AT4G24000,AT4G24260,AT2G32620,AT1G64390,AT2G44570,AT4G11050
HOMOGALACTURONAN_BIOSYNTHESIS	homogalacturonan biosynthesis	AT1G06780,AT2G30575,AT1G18580,AT2G20810,AT3G01040,AT5G15470,AT3G61130,AT2G38650,AT4G38270,AT5G47780,AT3G25140,AT5G54690,AT3G02350,AT2G46480,AT3G58790
STARCH_DEGRADATION	starch degradation	AT5G04360,AT2G32290,AT5G64860,AT5G51820,AT3G46970,AT5G45300,AT4G17090,AT4G29130,AT1G69830,AT1G70730,AT5G11720,AT2G19860,AT4G15210,AT3G23640,AT4G25000,AT3G23920,AT3G45940,AT1G76130,AT1G68560,AT5G55700,AT2G40840,AT2G45880,AT4G00490,AT5G18070,AT1G23190
GLUCONEOGENESIS_PLANTCYC	gluconeogenesis from PlantCyc	AT1G32060,AT1G09780,AT3G08590,AT4G37870,AT1G16300,AT1G12900,AT2G29560,AT3G04120,AT5G64380,AT1G56190,AT2G01140,AT3G62410,AT2G21330,AT1G22170,AT1G79550,AT3G54050,AT2G36460,AT1G79530,AT5G65690,AT1G74030,AT4G26530,AT4G38970,AT1G13440,AT5G42740,AT1G42970,AT3G12780,AT1G43670,AT3G52930,AT1G18270,AT4G24620,AT4G26520,AT3G26650,AT2G36530,AT5G03690
SUCROSE_BIOSYNTHESIS	sucrose biosynthesis	AT4G02280,AT1G73370,AT1G51420,AT1G04920,AT2G35840,AT4G10120,AT3G52340,AT5G51820,AT2G35020,AT5G11110,AT1G70730,AT5G52560,AT5G37180,AT5G49190,AT3G03250,AT5G20830,AT5G17310,AT3G43190,AT5G18070,AT3G54270,AT5G20280,AT1G23190
GALACTOSE_DEGRADATION_II	galactose degradation II	AT4G23920,AT2G35020,AT1G64440,AT5G52560,AT3G06580,AT3G03250,AT5G17310,AT4G10960,AT1G12780,AT1G63180
CMP-KDO_BIOSYNTHESIS_I	CMP-KDO biosynthesis I	AT1G53000,AT5G22800,AT1G79500,AT1G16340
GALACTOSE_DEGRADATION_III	galactose degradation III	AT4G02280,AT1G73370,AT1G32780,AT5G18200,AT4G22110,AT1G64710,AT4G23920,AT2G35020,AT1G64440,AT1G22440,AT5G52560,AT1G26570,AT5G37180,AT5G49190,AT3G06580,AT3G03250,AT5G20830,AT3G29360,AT1G77120,AT5G17310,AT1G22430,AT5G24760,AT4G10960,AT3G43190,AT1G12780,AT1G63180,AT5G15490,AT5G42250,AT5G39320
UDP-D-GALACTURONATE_BIOSYNTHESIS_II_	UDP-D-galacturonate biosynthesis II (from D-galacturonate)	AT5G52560,AT3G10700
UDP-D-XYLOSE_BIOSYNTHESIS	UDP-D-xylose biosynthesis	AT5G59290,AT1G32780,AT1G08200,AT2G27860,AT4G22110,AT1G64710,AT1G22440,AT3G46440,AT2G28760,AT1G26570,AT2G47650,AT3G29360,AT3G53520,AT1G77120,AT1G22430,AT5G24760,AT3G62830,AT5G15490,AT5G42250,AT5G39320
